"쉼터명",법정동명,쉼터유형구분,운영시작일자,운영종료일자,시설면적,이용가능인원수,선풍기보유대수,에어컨보유대수,야간연장운영여부,주말운영여부,숙박가능여부,특이사항,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"구서1동주민센터",구서동,주민센터,2019-01-01,2019-12-31,278,69,2,1,N,N,N,,"부산광역시 금정구 수림로72번길 123, 구서1동사무소 (구서동)",,구서1동,051-519-5404,,,2019-03-19
"구서본동할머니경로당",구서동,노인시설,2019-01-01,2019-12-31,130,32,2,2,N,Y,N,,"부산광역시 금정구 수림로72번길 123, 구서1동사무소 (구서동)",,구서1동,051-519-5404,,,2019-03-19
"구서2동주민센터",구서동,주민센터,2019-01-01,2019-12-31,226,56,22,3,N,N,N,,"부산광역시 금정구 두실로7번길 115, 구서동2동 주민센터 (구서동)",,구서2동,051-519-5424,,,2019-03-19
"선경1,2차A.경로당",구서동,노인시설,2019-01-01,2019-12-31,164,41,7,1,Y,Y,N,,"부산광역시 금정구 구서중앙로 20 (구서동, 선경아파트)",,구서2동,051-519-5424,,,2019-03-19
"구서2동새마을금고",구서동,금융기관,2019-01-01,2019-12-31,140,15,0,1,N,N,N,,부산광역시 금정구 금강로 568 (구서동),,구서2동,051-519-5424,,,2019-03-19
"금성동 주민센터",금성동,주민센터,2019-01-01,2019-12-31,122,30,10,2,N,N,N,,부산광역시 금정구 산성로 452 (금성동),,금성동,051-519-5442,,,2019-03-19
"금성3통(공해)경로당",금성동,노인시설,2019-01-01,2019-12-31,42,10,2,1,N,Y,N,,부산광역시 금정구 산성로 520-2 (금성동),,금성동,051-519-5442,,,2019-03-19
"금성2통경로당",금성동,노인시설,2019-01-01,2019-12-31,25,7,2,1,N,Y,N,,부산광역시 금정구 북문호 14 (금성동),,금성동,051-519-5442,,,2019-03-19
"산성경로당",금성동,노인시설,2019-01-01,2019-12-31,30,8,2,1,N,Y,N,,부산광역시 금정구 산성로 431 (금성동),,금성동,051-519-5442,,,2019-03-19
"금성1통경로당",금성동,노인시설,2019-01-01,2019-12-31,18,5,2,1,N,Y,N,,부산광역시 금정구 산성로 431 (금성동),,금성동,051-519-5442,,,2019-03-19
